;y;temp;pressure
0;-6542,675470345886;288;2000000
1;-5824,692638409673;288;3000000
2;-5106,709806473402;288;4000000
3;-4388,72697453713;288;5000000
4;-3670,744142600859;288;6000000
5;-2952,7613106645877;288;7000000
6;-2234,7784787283163;288;8000000
7;-1516,795646792103;288;9000000
8;-798,8128148558317;288;10000000
9;-80,82998291956028;288;11000000
10;637,1528490167111;288;12000000
11;1355,1356809529825;288;13000000
12;2073,118512889254;288;14000000
13;2791,101344825467;288;15000000
14;3509,0841767617385;288;16000000
15;4227,06700869801;288;17000000
16;4945,049840634281;288;18000000
17;5663,032672570553;288;19000000
18;8881,383163035498;298;2000000
19;9598,070069901994;298;3000000
20;10314,756976768549;298;4000000
21;11031,443883635045;298;5000000
22;11748,130790501542;298;6000000
23;12464,817697368097;298;7000000
24;13181,504604234593;298;8000000
25;13898,191511101148;298;9000000
26;14614,878417967644;298;10000000
27;15331,56532483414;298;11000000
28;16048,252231700695;298;12000000
29;16764,93913856719;298;13000000
30;17481,626045433746;298;14000000
31;18198,312952300243;298;15000000
32;18914,99985916674;298;16000000
33;19631,686766033294;298;17000000
34;20348,37367289979;298;18000000
35;21065,060579766345;298;19000000
36;24612,68501584389;308;2000000
37;25327,73734416376;308;3000000
38;26042,78967248369;308;4000000
39;26757,84200080356;308;5000000
40;27472,89432912349;308;6000000
41;28187,94665744336;308;7000000
42;28902,99898576329;308;8000000
43;29618,05131408316;308;9000000
44;30333,10364240309;308;10000000
45;31048,15597072296;308;11000000
46;31763,20829904289;308;12000000
47;32478,26062736276;308;13000000
48;33193,31295568263;308;14000000
49;33908,36528400256;308;15000000
50;34623,41761232243;308;16000000
51;35338,46994064236;308;17000000
52;36053,52226896223;308;18000000
53;36768,57459728216;308;19000000
54;40646,245120244916;318;2000000
55;41359,28495569329;318;3000000
56;42072,32479114161;318;4000000
57;42785,36462658993;318;5000000
58;43498,40446203825;318;6000000
59;44211,444297486625;318;7000000
60;44924,484132934944;318;8000000
61;45637,52396838326;318;9000000
62;46350,56380383158;318;10000000
63;47063,60363927996;318;11000000
64;47776,64347472828;318;12000000
65;48489,683310176595;318;13000000
66;49202,723145624914;318;14000000
67;49915,76298107323;318;15000000
68;50628,80281652161;318;16000000
69;51341,84265196993;318;17000000
70;52054,88248741825;318;18000000
71;52767,922322866565;318;19000000
72;56977,36370731186;328;2000000
73;57687,97114885948;328;3000000
74;58398,578590407094;328;4000000
75;59109,186031954654;328;5000000
76;59819,79347350227;328;6000000
77;60530,40091504989;328;7000000
78;61241,00835659751;328;8000000
79;61951,615798145125;328;9000000
80;62662,22323969274;328;10000000
81;63372,83068124036;328;11000000
82;64083,43812278798;328;12000000
83;64794,045564335596;328;13000000
84;65504,653005883156;328;14000000
85;66215,26044743077;328;15000000
86;66925,86788897839;328;16000000
87;67636,47533052601;328;17000000
88;68347,08277207363;328;18000000
89;69057,69021362124;328;19000000
90;73601,62579898632;338;2000000
91;74309,33602902401;338;3000000
92;75017,04625906172;338;4000000
93;75724,75648909944;338;5000000
94;76432,46671913716;338;6000000
95;77140,17694917484;338;7000000
96;77847,88717921256;338;8000000
97;78555,59740925027;338;9000000
98;79263,30763928799;338;10000000
99;79971,01786932567;338;11000000
100;80678,72809936339;338;12000000
101;81386,4383294011;338;13000000
102;82094,14855943882;338;14000000
103;82801,85878947651;338;15000000
104;83509,56901951422;338;16000000
105;84217,27924955194;338;17000000
106;84924,98947958965;338;18000000
107;85632,69970962737;338;19000000
108;90514,90074123905;348;2000000
109;91219,20086228219;348;3000000
110;91923,50098332533;348;4000000
111;92627,80110436847;348;5000000
112;93332,1012254116;348;6000000
113;94036,40134645475;348;7000000
114;94740,70146749789;348;8000000
115;95445,00158854102;348;9000000
116;96149,30170958416;348;10000000
117;96853,6018306273;348;11000000
118;97557,90195167044;348;12000000
119;98262,20207271358;348;13000000
120;98966,50219375672;348;14000000
121;99670,80231479986;348;15000000
122;100375,102435843;348;16000000
123;101079,40255688614;348;17000000
124;101783,70267792928;348;18000000
125;102488,00279897242;348;19000000
126;107713,34167053612;358;2000000
127;108413,66727516218;358;3000000
128;109113,99287978827;358;4000000
129;109814,31848441434;358;5000000
130;110514,6440890404;358;6000000
131;111214,96969366647;358;7000000
132;111915,29529829253;358;8000000
133;112615,6209029186;358;9000000
134;113315,94650754466;358;10000000
135;114016,27211217076;358;11000000
136;114716,59771679682;358;12000000
137;115416,92332142289;358;13000000
138;116117,24892604895;358;14000000
139;116817,57453067502;358;15000000
140;117517,90013530108;358;16000000
141;118218,22573992715;358;17000000
142;118918,55134455324;358;18000000
143;119618,8769491793;358;19000000
144;125193,38490469503;368;2000000
145;125889,11634090944;368;3000000
146;126584,84777712388;368;4000000
147;127280,57921333832;368;5000000
148;127976,31064955276;368;6000000
149;128672,0420857672;368;7000000
150;129367,77352198161;368;8000000
151;130063,50495819605;368;9000000
152;130759,23639441049;368;10000000
153;131454,96783062493;368;11000000
154;132150,69926683937;368;12000000
155;132846,43070305377;368;13000000
156;133542,1621392682;368;14000000
157;134237,89357548265;368;15000000
158;134933,6250116971;368;16000000
159;135629,35644791153;368;17000000
160;136325,08788412597;368;18000000
161;137020,81932034038;368;19000000
162;142951,7492480181;378;2000000
163;143642,20753718662;378;3000000
164;144332,66582635517;378;4000000
165;145023,12411552368;378;5000000
166;145713,58240469222;378;6000000
167;146404,04069386073;378;7000000
168;147094,49898302928;378;8000000
169;147784,9572721978;378;9000000
170;148475,4155613663;378;10000000
171;149165,87385053484;378;11000000
172;149856,33213970336;378;12000000
173;150546,7904288719;378;13000000
174;151237,2487180404;378;14000000
175;151927,70700720896;378;15000000
176;152618,16529637747;378;16000000
177;153308,62358554598;378;17000000
178;153999,08187471452;378;18000000
179;154689,54016388304;378;19000000
180;160985,43519918103;388;2000000
181;161669,87755790635;388;3000000
182;162354,3199166317;388;4000000
183;163038,76227535703;388;5000000
184;163723,20463408236;388;6000000
185;164407,6469928077;388;7000000
186;165092,08935153304;388;8000000
187;165776,53171025836;388;9000000
188;166460,97406898372;388;10000000
189;167145,41642770905;388;11000000
190;167829,8587864344;388;12000000
191;168514,30114515973;388;13000000
192;169198,74350388505;388;14000000
193;169883,1858626104;388;15000000
194;170567,62822133573;388;16000000
195;171252,07058006106;388;17000000
196;171936,5129387864;388;18000000
197;172620,95529751174;388;19000000
198;179291,72404869617;398;2000000
199;179969,3389594264;398;3000000
200;180646,95387015658;398;4000000
201;181324,5687808868;398;5000000
202;182002,183691617;398;6000000
203;182679,7986023472;398;7000000
204;183357,41351307742;398;8000000
205;184035,02842380764;398;9000000
206;184712,64333453783;398;10000000
207;185390,25824526805;398;11000000
208;186067,87315599824;398;12000000
209;186745,48806672846;398;13000000
210;187423,10297745868;398;14000000
211;188100,71788818887;398;15000000
212;188778,3327989191;398;16000000
213;189455,94770964928;398;17000000
214;190133,5626203795;398;18000000
215;190811,17753110972;398;19000000
216;197868,17685081036;408;2000000
217;198538,07861839604;408;3000000
218;199207,98038598173;408;4000000
219;199877,88215356742;408;5000000
220;200547,7839211531;408;6000000
221;201217,6856887388;408;7000000
222;201887,5874563245;408;8000000
223;202557,4892239102;408;9000000
224;203227,39099149586;408;10000000
225;203897,29275908158;408;11000000
226;204567,19452666724;408;12000000
227;205237,09629425296;408;13000000
228;205906,99806183862;408;14000000
229;206576,89982942434;408;15000000
230;207246,80159701;408;16000000
231;207916,7033645957;408;17000000
232;208586,60513218137;408;18000000
233;209256,5068997671;408;19000000
234;216712,63325237882;418;2000000
235;217373,8559750674;418;3000000
236;218035,07869775596;418;4000000
237;218696,3014204445;418;5000000
238;219357,52414313308;418;6000000
239;220018,74686582165;418;7000000
240;220679,96958851023;418;8000000
241;221341,1923111988;418;9000000
242;222002,41503388737;418;10000000
243;222663,63775657595;418;11000000
244;223324,86047926452;418;12000000
245;223986,08320195306;418;13000000
246;224647,30592464164;418;14000000
247;225308,52864733018;418;15000000
248;225969,75137001876;418;16000000
249;226630,97409270733;418;17000000
250;227292,1968153959;418;18000000
251;227953,41953808448;418;19000000
252;235823,21015851025;428;2000000
253;236474,70103176255;428;3000000
254;237126,19190501486;428;4000000
255;237777,6827782672;428;5000000
256;238429,1736515195;428;6000000
257;239080,6645247718;428;7000000
258;239732,15539802413;428;8000000
259;240383,64627127646;428;9000000
260;241035,13714452874;428;10000000
261;241686,62801778107;428;11000000
262;242338,1188910334;428;12000000
263;242989,6097642857;428;13000000
264;243641,100637538;428;14000000
265;244292,59151079034;428;15000000
266;244944,08238404265;428;16000000
267;245595,57325729495;428;17000000
268;246247,06413054728;428;18000000
269;246898,5550037996;428;19000000
270;255198,30021151365;438;2000000
271;255838,9120712943;438;3000000
272;256479,52393107492;438;4000000
273;257120,13579085554;438;5000000
274;257760,74765063616;438;6000000
275;258401,35951041678;438;7000000
276;259041,97137019743;438;8000000
277;259682,58322997804;438;9000000
278;260323,19508975866;438;10000000
279;260963,80694953928;438;11000000
280;261604,4188093199;438;12000000
281;262245,0306691005;438;13000000
282;262885,64252888114;438;14000000
283;263526,25438866176;438;15000000
284;264166,8662484424;438;16000000
285;264807,478108223;438;17000000
286;265448,0899680036;438;18000000
287;266088,70182778424;438;19000000
288;274836,5700557949;448;2000000
289;275465,05305431044;448;3000000
290;276093,536052826;448;4000000
291;276722,0190513415;448;5000000
292;277350,502049857;448;6000000
293;277978,98504837253;448;7000000
294;278607,46804688807;448;8000000
295;279235,9510454036;448;9000000
296;279864,43404391914;448;10000000
297;280492,9170424347;448;11000000
298;281121,40004095016;448;12000000
299;281749,8830394657;448;13000000
300;282378,36603798124;448;14000000
301;283006,8490364968;448;15000000
302;283635,3320350123;448;16000000
303;284263,8150335278;448;17000000
304;284892,2980320433;448;18000000
305;285520,78103055886;448;19000000
306;294736,9583567147;458;2000000
307;295351,9506475813;458;3000000
308;295966,9429384479;458;4000000
309;296581,93522931443;458;5000000
310;297196,927520181;458;6000000
311;297811,91981104756;458;7000000
312;298426,9121019141;458;8000000
313;299041,9043927807;458;9000000
314;299656,89668364724;458;10000000
315;300271,8889745138;458;11000000
316;300886,88126538036;458;12000000
317;301501,873556247;458;13000000
318;302116,86584711354;458;14000000
319;302731,8581379801;458;15000000
320;303346,85042884666;458;16000000
321;303961,8427197132;458;17000000
322;304576,8350105798;458;18000000
323;305191,82730144635;458;19000000
324;314898,6735358796;468;2000000
325;315498,69082693575;468;3000000
326;316098,70811799186;468;4000000
327;316698,725409048;468;5000000
328;317298,74270010414;468;6000000
329;317898,7599911603;468;7000000
330;318498,7772822164;468;8000000
331;319098,7945732726;468;9000000
332;319698,8118643287;468;10000000
333;320298,82915538485;468;11000000
334;320898,84644644096;468;12000000
335;321498,86373749713;468;13000000
336;322098,88102855324;468;14000000
337;322698,8983196094;468;15000000
338;323298,9156106655;468;16000000
339;323898,9329017217;468;17000000
340;324498,9501927778;468;18000000
341;325098,96748383396;468;19000000
342;335321,1911786889;478;2000000
343;335904,614988582;478;3000000
344;336488,03879847506;478;4000000
345;337071,46260836814;478;5000000
346;337654,8864182612;478;6000000
347;338238,3102281543;478;7000000
348;338821,7340380474;478;8000000
349;339405,1578479404;478;9000000
350;339988,5816578335;478;10000000
351;340572,00546772656;478;11000000
352;341155,42927761964;478;12000000
353;341738,8530875127;478;13000000
354;342322,2768974058;478;14000000
355;342905,7007072989;478;15000000
356;343489,1245171919;478;16000000
357;344072,548327085;478;17000000
358;344655,97213697806;478;18000000
359;345239,39594687114;478;19000000
360;356004,2510619702;488;2000000
361;356569,3154905605;488;3000000
362;357134,3799191508;488;4000000
363;357699,4443477411;488;5000000
364;358264,5087763314;488;6000000
365;358829,5732049217;488;7000000
366;359394,637633512;488;8000000
367;359959,70206210227;488;9000000
368;360524,76649069256;488;10000000
369;361089,83091928286;488;11000000
370;361654,89534787316;488;12000000
371;362219,95977646345;488;13000000
372;362785,02420505375;488;14000000
373;363350,08863364405;488;15000000
374;363915,15306223434;488;16000000
375;364480,21749082464;488;17000000
376;365045,28191941493;488;18000000
377;365610,34634800523;488;19000000
378;376947,8537398947;498;2000000
379;377492,63053161727;498;3000000
380;378037,40732333984;498;4000000
381;378582,1841150624;498;5000000
382;379126,960906785;498;6000000
383;379671,73769850755;498;7000000
384;380216,5144902301;498;8000000
385;380761,29128195264;498;9000000
386;381306,0680736752;498;10000000
387;381850,8448653978;498;11000000
388;382395,62165712035;498;12000000
389;382940,3984488429;498;13000000
390;383485,1752405655;498;14000000
391;384029,95203228807;498;15000000
392;384574,72882401064;498;16000000
393;385119,5056157332;498;17000000
394;385664,2824074557;498;18000000
395;386209,0591991783;498;19000000
396;398152,25661470153;508;2000000
397;398674,6382572901;508;3000000
398;399197,01989987877;508;4000000
399;399719,4015424673;508;5000000
400;400241,78318505595;508;6000000
401;400764,16482764453;508;7000000
402;401286,5464702331;508;8000000
403;401808,92811282177;508;9000000
404;402331,30975541036;508;10000000
405;402853,69139799895;508;11000000
406;403376,0730405876;508;12000000
407;403898,4546831761;508;13000000
408;404420,8363257648;508;14000000
409;404943,21796835336;508;15000000
410;405465,59961094195;508;16000000
411;405987,9812535306;508;17000000
412;406510,3628961192;508;18000000
413;407032,7445387078;508;19000000
414;419617,96940459986;518;2000000
415;420115,649961762;518;3000000
416;420613,33051892417;518;4000000
417;421111,0110760863;518;5000000
418;421608,69163324847;518;6000000
419;422106,3721904106;518;7000000
420;422604,0527475728;518;8000000
421;423101,73330473487;518;9000000
422;423599,413861897;518;10000000
423;424097,09441905917;518;11000000
424;424594,7749762213;518;12000000
425;425092,4555333835;518;13000000
426;425590,1360905456;518;14000000
427;426087,8166477078;518;15000000
428;426585,4972048699;518;16000000
429;427083,177762032;518;17000000
430;427580,8583191942;518;18000000
431;428078,5388763563;518;19000000
432;441345,74890396773;528;2000000
433;441816,20222815906;528;3000000
434;442286,6555523504;528;4000000
435;442757,1088765417;528;5000000
436;443227,56220073305;528;6000000
437;443698,0155249244;528;7000000
438;444168,46884911566;528;8000000
439;444638,92217330704;528;9000000
440;445109,3754974983;528;10000000
441;445579,8288216897;528;11000000
442;446050,282145881;528;12000000
443;446520,73547007237;528;13000000
444;446991,18879426364;528;14000000
445;447461,642118455;528;15000000
446;447932,0954426463;528;16000000
447;448402,5487668377;528;17000000
448;448873,00209102896;528;18000000
449;449343,45541522035;528;19000000
450;463336,5929098715;538;2000000
451;463777,04781833;538;3000000
452;464217,5027267886;538;4000000
453;464657,95763524715;538;5000000
454;465098,41254370566;538;6000000
455;465538,8674521642;538;7000000
456;465979,3223606227;538;8000000
457;466419,77726908127;538;9000000
458;466860,23217753984;538;10000000
459;467300,68708599836;538;11000000
460;467741,1419944569;538;12000000
461;468181,5969029154;538;13000000
462;468622,05181137397;538;14000000
463;469062,50671983254;538;15000000
464;469502,96162829106;538;16000000
465;469943,4165367496;538;17000000
466;470383,8714452081;538;18000000
467;470824,32635366666;538;19000000
468;485591,7331630351;548;2000000
469;485999,14508429996;548;3000000
470;486406,5570055648;548;4000000
471;486813,9689268297;548;5000000
472;487221,3808480946;548;6000000
473;487628,7927693594;548;7000000
474;488036,20469062426;548;8000000
475;488443,61661188916;548;9000000
476;488851,028533154;548;10000000
477;489258,4404544189;548;11000000
478;489665,8523756837;548;12000000
479;490073,26429694856;548;13000000
480;490480,67621821346;548;14000000
481;490888,08813947835;548;15000000
482;491295,5000607432;548;16000000
483;491702,911982008;548;17000000
484;492110,32390327286;548;18000000
485;492517,73582453775;548;19000000
486;508112,6271194648;558;2000000
487;508483,64562570734;558;3000000
488;508854,6641319499;558;4000000
489;509225,68263819243;558;5000000
490;509596,70114443504;558;6000000
491;509967,7196506776;558;7000000
492;510338,7381569202;558;8000000
493;510709,7566631627;558;9000000
494;511080,7751694053;558;10000000
495;511451,7936756478;558;11000000
496;511822,81218189036;558;12000000
497;512193,8306881329;558;13000000
498;512564,84919437545;558;14000000
499;512935,86770061805;558;15000000
500;513306,8862068606;558;16000000
501;513677,9047131032;558;17000000
502;514048,92321934574;558;18000000
503;514419,9417255883;558;19000000
504;530900,9483294188;568;2000000
505;531231,8798582586;568;3000000
506;531562,8113870985;568;4000000
507;531893,7429159384;568;5000000
508;532224,6744447784;568;6000000
509;532555,6059736182;568;7000000
510;532886,5375024581;568;8000000
511;533217,4690312981;568;9000000
512;533548,4005601379;568;10000000
513;533879,3320889778;568;11000000
514;534210,2636178178;568;12000000
515;534541,1951466576;568;13000000
516;534872,1266754975;568;14000000
517;535203,0582043374;568;15000000
518;535533,9897331774;568;16000000
519;535864,9212620172;568;17000000
520;536195,8527908571;568;18000000
521;536526,784319697;568;19000000
522;553958,5751512662;578;2000000
523;554245,3400845168;578;3000000
524;554532,1050177674;578;4000000
525;554818,869951018;578;5000000
526;555105,6348842686;578;6000000
527;555392,3998175192;578;7000000
528;555679,1647507699;578;8000000
529;555965,9296840203;578;9000000
530;556252,694617271;578;10000000
531;556539,4595505216;578;11000000
532;556826,2244837722;578;12000000
533;557112,9894170228;578;13000000
534;557399,7543502734;578;14000000
535;557686,519283524;578;15000000
536;557973,2842167746;578;16000000
537;558260,0491500252;578;17000000
538;558546,8140832759;578;18000000
539;558833,5790165265;578;19000000
540;577287,5774663761;588;2000000
541;577525,6605662345;588;3000000
542;577763,7436660929;588;4000000
543;578001,8267659512;588;5000000
544;578239,9098658096;588;6000000
545;578477,992965668;588;7000000
546;578716,0760655263;588;8000000
547;578954,1591653847;588;9000000
548;579192,2422652431;588;10000000
549;579430,3253651015;588;11000000
550;579668,4084649598;588;12000000
551;579906,4915648182;588;13000000
552;580144,5746646767;588;14000000
553;580382,657764535;588;15000000
554;580620,7408643934;588;16000000
555;580858,8239642518;588;17000000
556;581096,9070641102;588;18000000
557;581334,9901639685;588;19000000
558;600890,2009840747;598;2000000
559;601074,5939817901;598;3000000
560;601258,9869795056;598;4000000
561;601443,3799772211;598;5000000
562;601627,7729749365;598;6000000
563;601812,1659726519;598;7000000
564;601996,5589703674;598;8000000
565;602180,9519680829;598;9000000
566;602365,3449657983;598;10000000
567;602549,7379635137;598;11000000
568;602734,1309612292;598;12000000
569;602918,5239589447;598;13000000
570;603102,9169566601;598;14000000
571;603287,3099543755;598;15000000
572;603471,702952091;598;16000000
573;603656,0959498065;598;17000000
574;603840,4889475219;598;18000000
575;604024,8819452374;598;19000000
576;624768,8486283908;608;2000000
577;624893,9835063061;608;3000000
578;625019,1183842213;608;4000000
579;625144,2532621367;608;5000000
580;625269,388140052;608;6000000
581;625394,5230179674;608;7000000
582;625519,6578958826;608;8000000
583;625644,7927737979;608;9000000
584;625769,9276517131;608;10000000
585;625895,0625296285;608;11000000
586;626020,1974075439;608;12000000
587;626145,3322854592;608;13000000
588;626270,4671633744;608;14000000
589;626395,6020412897;608;15000000
590;626520,7369192049;608;16000000
591;626645,8717971203;608;17000000
592;626771,0066750357;608;18000000
593;626896,141552951;608;19000000
594;648926,058374804;618;2000000
595;648985,729566771;618;3000000
596;649045,4007587379;618;4000000
597;649105,0719507049;618;5000000
598;649164,7431426719;618;6000000
599;649224,414334639;618;7000000
600;649284,0855266058;618;8000000
601;649343,7567185729;618;9000000
602;649403,4279105399;618;10000000
603;649463,0991025069;618;11000000
604;649522,7702944739;618;12000000
605;649582,4414864408;618;13000000
606;649642,1126784079;618;14000000
607;649701,7838703748;618;15000000
608;649761,4550623419;618;16000000
609;649821,1262543089;618;17000000
610;649880,7974462758;618;18000000
611;649940,4686382428;618;19000000
612;673364,476747578;628;2000000
613;673351,7500880394;628;3000000
614;673339,0234285009;628;4000000
615;673326,2967689624;628;5000000
616;673313,570109424;628;6000000
617;673300,8434498854;628;7000000
618;673288,1167903468;628;8000000
619;673275,3901308083;628;9000000
620;673262,6634712699;628;10000000
621;673249,9368117313;628;11000000
622;673237,2101521927;628;12000000
623;673224,4834926543;628;13000000
624;673211,7568331158;628;14000000
625;673199,0301735773;628;15000000
626;673186,3035140387;628;16000000
627;673173,5768545002;628;17000000
628;673160,8501949618;628;18000000
629;673148,1235354232;628;19000000
630;698086,8269858513;638;2000000
631;697993,9327419684;638;3000000
632;697901,0384980857;638;4000000
633;697808,144254203;638;5000000
634;697715,2500103202;638;6000000
635;697622,3557664374;638;7000000
636;697529,4615225545;638;8000000
637;697436,5672786718;638;9000000
638;697343,673034789;638;10000000
639;697250,7787909062;638;11000000
640;697157,8845470233;638;12000000
641;697064,9903031406;638;13000000
642;696972,0960592579;638;14000000
643;696879,2018153751;638;15000000
644;696786,3075714923;638;16000000
645;696693,4133276094;638;17000000
646;696600,5190837267;638;18000000
647;696507,624839844;638;19000000
648;723095,8706251229;648;2000000
649;722914,0773196456;648;3000000
650;722732,2840141682;648;4000000
651;722550,490708691;648;5000000
652;722368,6974032137;648;6000000
653;722186,9040977363;648;7000000
654;722005,1107922591;648;8000000
655;721823,3174867819;648;9000000
656;721641,5241813045;648;10000000
657;721459,7308758273;648;11000000
658;721277,93757035;648;12000000
659;721096,1442648727;648;13000000
660;720914,3509593954;648;14000000
661;720732,5576539182;648;15000000
662;720550,7643484408;648;16000000
663;720368,9710429634;648;17000000
664;720187,1777374863;648;18000000
665;720005,384432009;648;19000000
666;748394,3609005688;658;2000000
667;748113,825836364;658;3000000
668;747833,2907721594;658;4000000
669;747552,7557079545;658;5000000
670;747272,2206437497;658;6000000
671;746991,6855795451;658;7000000
672;746711,1505153403;658;8000000
673;746430,6154511356;658;9000000
674;746150,0803869308;658;10000000
675;745869,545322726;658;11000000
676;745589,0102585213;658;12000000
677;745308,4751943166;658;13000000
678;745027,9401301118;658;14000000
679;744747,405065907;658;15000000
680;744466,8700017023;658;16000000
681;744186,3349374975;658;17000000
682;743905,7998732928;658;18000000
683;743625,2648090881;658;19000000
684;773984,9859330067;668;2000000
685;773594,5773105695;668;3000000
686;773204,1686881323;668;4000000
687;772813,760065695;668;5000000
688;772423,3514432579;668;6000000
689;772032,9428208207;668;7000000
690;771642,5341983836;668;8000000
691;771252,1255759464;668;9000000
692;770861,7169535093;668;10000000
693;770471,308331072;668;11000000
694;770080,8997086348;668;12000000
695;769690,4910861976;668;13000000
696;769300,0824637604;668;14000000
697;768909,6738413232;668;15000000
698;768519,2652188861;668;16000000
699;768128,8565964489;668;17000000
700;767738,4479740118;668;18000000
701;767348,0393515745;668;19000000
