model1st Antiguo;model1st Iterativo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
date;DNI;DryBulb;Pressure;Wspd;SB.NO.a.mf;SB.NO.a.tin;SB.NO.a.tout;NetPower;AuxPower;GrossPower;SB.NO.a.pin;SB.NO.a.pout;elevation;zenith;azimuth;aoi;IAM;pr_shadows;pr_borders;pr_opt_peak;solar_fraction;SF.x.mf;SF.x.tin;SF.x.tout;SF.x.pin;SF.x.pout;SF.x.prth;SF.x.prop;SF.x.qabs;SF.x.qlst;SF.x.qlbk;SF.x.pwr;SF.x.globalpr;LB.000.x.mf;LB.000.x.tin;LB.000.x.tout;LB.000.x.pin;LB.000.x.pout;LB.000.x.prth;LB.000.x.prop;LB.000.x.qabs;LB.000.x.qlst;LB.000.x.qlbk;SB.NO.x.mf;SB.NO.x.tin;SB.NO.x.tout;SB.NO.x.pin;SB.NO.x.pout;SB.NO.x.prth;SB.NO.x.prop;SB.NO.x.qabs;SB.NO.x.qlst;SB.NO.x.qlbk;SF.a.mf;SF.a.tin;SF.a.tout;SF.a.pwr;SF.b.tout;SF.b.prth;SF.b.prop;SF.b.pwr;SF.b.wpwr;SF.a.pin;SF.a.pout;SF.b.pout;SF.b.qabs;SF.b.qlst;SF.b.qlbk;SF.a.prth;SF.a.globalpr;LB.NO.a.mf;LB.NO.a.tin;LB.NO.a.tout;LB.NO.b.tout;LB.NO.a.pin;LB.NO.b.pout;LB.NO.b.prth;LB.NO.b.prop;LB.NO.b.qabs;LB.NO.b.qlst;LB.NO.b.qlbk;LB.NO.b.wpwr;SB.NO.b.tout;SB.NO.b.pout;SB.NO.b.prth;SB.NO.b.prop;SB.NO.b.qabs;SB.NO.b.qlst;SB.NO.b.qlbk;SB.NO.b.wpwr
01/03/2007 0:00;0;280,95;99600;2,9;204;278,893;268;0;0;0;2E+11;2E+11;-58,6876153;148,6876153;2,314212346;31,28396294;0;0;0,991248182;0,794882056;0,922462279;204;278,8446216;267,6173644;2E+11;2E+11;0;0;0;5,262121166;0,155596372;-5,133412461;0;1,7;278,893;267,7190158;2E+11;2E+11;0;0;0;43851,00972;1296,636433;204;278,893;267,6681886;2E+11;2E+11;0;0;0;5,262121166;0,155596372;204;278,8446216;267,9491588;-4,982708801;267,6175267;0;0;-5,133338757;0;2E+11;2E+11;2E+11;0;5,262045243;0,155595442;0;0;1,7;278,893;-273,15;267,7191781;2E+11;2E+11;0;0;0;43850,37702;1296,628681;0;267,6683509;2E+11;0;0;0;5,262045243;0,155595442;0
01/03/2007 1:00;0;279,85;99600;2,2;204;274,808;264,287;0;0;0;2E+11;2E+11;-55,4659621;145,4659621;29,21187996;29,65646024;0;0;0,991799007;0,794882056;0,922462279;204;274,7580031;263,8240589;2E+11;2E+11;0;0;0;5,100810826;0,154367853;-4,975425463;0;1,7;274,808;263,924581;2E+11;2E+11;0;0;0;42506,75688;1286,398777;204;274,808;263,874314;2E+11;2E+11;0;0;0;5,100810826;0,154367853;204;274,7580031;264,23665;-4,788877897;263,8243315;0;0;-4,975302209;0;2E+11;2E+11;2E+11;0;5,100683815;0,154366257;0;0;1,7;274,808;-273,15;263,9248538;2E+11;2E+11;0;0;0;42505,69846;1286,385473;0;263,8745867;2E+11;0;0;0;5,100683815;0,154366257;0
01/03/2007 2:00;0;278,75;99600;1,8;204;270,882;260,709;0;0;0;2E+11;2E+11;-47,97943826;137,9794383;50,09647178;25,43051932;0;0;0,99315141;0,794882056;0,922462279;204;270,8312365;260,1713228;2E+11;2E+11;0;0;0;4,950947291;0,153187031;-4,828404754;0;1,7;270,882;260,2694887;2E+11;2E+11;0;0;0;41257,89409;1276,558593;204;270,882;260,2203958;2E+11;2E+11;0;0;0;4,950947291;0,153187031;204;270,8312365;260,6597339;-4,608548219;260,1715659;0;0;-4,828295363;0;2E+11;2E+11;2E+11;0;4,950834528;0,15318558;0;0;1,7;270,882;-273,15;260,269732;2E+11;2E+11;0;0;0;41256,9544;1276,546498;0;260,220639;2E+11;0;0;0;4,950834528;0,15318558;0
01/03/2007 3:00;0;278,15;99600;1,8;204;267,103;257,26;0;0;0;2E+11;2E+11;-38,11115637;128,1111564;65,39479334;19,12322581;0;0;0,995005873;0,794882056;0,922462279;204;267,0522171;256,6516271;2E+11;2E+11;0;0;0;4,810098687;0,151713572;-4,690025577;0;1,7;267,103;256,7463949;2E+11;2E+11;0;0;0;40084,15573;1264,279767;204;267,103;256,6989978;2E+11;2E+11;0;0;0;4,810098687;0,151713572;204;267,0522171;257,2123223;-4,438703358;256,6518445;0;0;-4,68992816;0;2E+11;2E+11;2E+11;0;4,809998237;0,15171225;0;0;1,7;267,103;-273,15;256,7466126;2E+11;2E+11;0;0;0;40083,31864;1264,268749;0;256,6992153;2E+11;0;0;0;4,809998237;0,15171225;0
01/03/2007 4:00;0;277,45;99600;1,3;204;263,462;253,931;0;0;0;2E+11;2E+11;-27,07757;117,07757;77,26340979;11,32089611;0;0;0,997116475;0,794882056;0,922462279;204;263,4118476;253,2676044;2E+11;2E+11;0;0;0;4,672615749;0,150381445;-4,554840794;0;1,7;263,462;253,3581147;2E+11;2E+11;0;0;0;38938,46457;1253,178712;204;263,462;253,3128437;2E+11;2E+11;0;0;0;4,672615749;0,150381445;204;263,4118476;253,8853367;-4,279088608;253,2677986;0;0;-4,55475411;0;2E+11;2E+11;2E+11;0;4,672526341;0,150380241;0;0;1,7;263,462;-273,15;253,3583092;2E+11;2E+11;0;0;0;38937,71951;1253,168678;0;253,3130381;2E+11;0;0;0;4,672526341;0,150380241;0
01/03/2007 5:00;0;277,05;99600;1,4;204;259,952;250,716;0;0;0;2E+11;2E+11;-15,54253262;105,5425326;87,3534314;2,549723221;0;0;0,999358615;0,794882056;0,922462279;204;259,9030377;249,9959824;2E+11;2E+11;0;0;0;4,54575861;0,148878194;-4,429916956;0;1,7;259,952;250,0815075;2E+11;2E+11;0;0;0;37881,32175;1240,651614;204;259,952;250,0387274;2E+11;2E+11;0;0;0;4,54575861;0,148878194;204;259,9030377;250,6727055;-4,129031704;249,9961571;0;0;-4,42983931;0;2E+11;2E+11;2E+11;0;4,545678505;0,148877092;0;0;1,7;259,952;-273,15;250,0816825;2E+11;2E+11;0;0;0;37880,65421;1240,642432;0;250,0389022;2E+11;0;0;0;4,545678505;0,148877092;0
01/03/2007 6:00;0;276,95;99600;1,2;204;256,565;247,609;0;0;0;2E+11;2E+11;-3,91121108;93,91121108;96,76307922;6,747254368;0;0;0,998295958;0,794882056;0,922462279;204;256,5177046;246,8464412;2E+11;2E+11;0;0;0;4,421180416;0,147236083;-4,30718366;0;1,7;256,565;246,9264132;2E+11;2E+11;0;0;0;36843,17013;1226,967359;204;256,565;246,8864085;2E+11;2E+11;0;0;0;4,421180416;0,147236083;204;256,5177046;247,5683649;-3,987433802;246,846598;0;0;-4,307114247;0;2E+11;2E+11;2E+11;0;4,421108789;0,147235077;0;0;1,7;256,565;-273,15;246,9265703;2E+11;2E+11;0;0;0;36842,57324;1226,958974;0;246,8865654;2E+11;0;0;0;4,421108789;0,147235077;0
01/03/2007 7:00;80;278,05;99600;1,4;204;253,529;250,796;0;0;0;2E+11;2E+11;7,49442238;82,50557762;106,3180893;16,17484992;0;0,382467518;0,995822312;0,794882056;0,922462279;204;253,4836106;244,028388;2E+11;2E+11;0;0;0;4,308211909;0,144944429;-4,195848869;0;1,7;253,529;244,1028097;2E+11;2E+11;0;0;0;35901,76591;1207,870241;204;253,529;244,0655797;2E+11;2E+11;0;0;0;4,308211909;0,144944429;204;253,4836106;250,7526417;-1,216909694;244,028388;0;0;-4,195848871;0;2E+11;2E+11;2E+11;0;4,30821191;0,144944429;0;0;1,7;253,529;-273,15;244,1028097;2E+11;2E+11;0;0;0;35901,76592;1207,870241;0;244,0655797;2E+11;0;0;0;4,30821191;0,144944429;0
01/03/2007 8:00;447;280,05;99600;2,5;382,873;264,477;365,593;0;0;0;2E+11;2E+11;18,32683222;71,67316778;116,7830328;25,3253194;0,986637202;0,979701891;0,993183806;0,794882056;0,922462279;349,2910709;264,426609;392,6992774;2E+11;2E+11;0,88862649;0,70888779;120,8933465;13,52299153;0,221243017;107,4668356;0;2,910758924;264,477;392,9044946;2E+11;2E+11;0,88862649;0,70888779;1007444,554;112691,5961;1843,69181;349,2910709;264,477;392,8013413;2E+11;2E+11;0,88862649;0,70888779;120,8933465;13,52299153;0,221243017;382,873;264,426609;365,6428556;91,40778957;383,0714472;0,894344952;0,70888779;108,3076518;0;2E+11;2E+11;2E+11;120,8933465;12,80983045;0,217344391;0,756102732;0;3,190608333;264,477;-273,15;383,1108545;2E+11;2E+11;0,894344952;0,70888779;1007444,554;106748,5871;1811,203255;0;383,0910855;2E+11;0,894344952;0,70888779;120,8933465;12,80983045;0,217344391;0
01/03/2007 9:00;745;282,15;99600;2;663,342;289,675;392,497;0;0;0;2E+11;2E+11;28,11726372;61,88273628;128,9846142;33,70155489;0,962456739;1;0,990393633;0,794882056;0,922462279;674,0505197;289,6349078;392,8807162;2E+11;2E+11;0,920793936;0,636466322;184,1337278;14,65424921;0,227626777;169,4424004;0;5,617087664;289,675;393,0898432;2E+11;2E+11;0,920793936;0,636466322;1534447,731;122118,7434;1896,889807;674,0505197;289,675;392,9847201;2E+11;2E+11;0,920793936;0,636466322;184,1337278;14,65424921;0,227626777;663,342;289,6349078;392,3981219;165,9214134;394,3505253;0,92018801;0,636466322;169,2786341;0;2E+11;2E+11;2E+11;184,1337278;14,76953594;0,228211806;0,901091915;0;5,52785;289,675;-273,15;394,5925114;2E+11;2E+11;0,92018801;0,636466322;1534447,731;123079,4662;1901,765053;0;394,470828;2E+11;0,92018801;0,636466322;184,1337278;14,76953594;0,228211806;0
01/03/2007 10:00;709;284,05;99600;3,2;559,838;292,756;392,576;0;0;0;2E+11;2E+11;36,17604364;53,82395636;143,7798432;40,63337629;0,930445455;1;0,987640324;0,794882056;0,922462279;570,1555053;292,7193136;392,8858781;2E+11;2E+11;0,904422476;0,561272334;154,103495;14,8053154;0,227122244;139,3048981;0;4,751295878;292,756;393,0951168;2E+11;2E+11;0,904422476;0,561272334;1284195,792;123377,6283;1892,685367;570,1555053;292,756;392,9899375;2E+11;2E+11;0,904422476;0,561272334;154,103495;14,8053154;0,227122244;559,838;292,7193136;392,476299;136,1901587;394,5034824;0,9036182;0,561272334;139,1324797;0;2E+11;2E+11;2E+11;154,103495;14,93340547;0,22776767;0,883757755;0;4,665316667;292,756;-273,15;394,7490114;2E+11;2E+11;0,9036182;0,561272334;1284195,792;124445,0456;1898,063913;0;394,6255418;2E+11;0,9036182;0,561272334;154,103495;14,93340547;0,22776767;0
01/03/2007 11:00;515;285,15;99600;3,5;345,223;292,968;392,609;0;0;0;2E+11;2E+11;41,55241242;48,44758758;161,6313169;45,25279106;0,900548939;1;0,985469048;0,794882056;0,922462279;350,9980067;292,9315642;392,8839159;2E+11;2E+11;0,853293683;0,503930231;100,2800251;14,79487226;0,226308831;85,58584089;0;2,924983389;292,968;393,0931121;2E+11;2E+11;0,853293683;0,503930231;835666,8761;123290,6021;1885,906928;350,9980067;292,968;392,9879542;2E+11;2E+11;0,853293683;0,503930231;100,2800251;14,79487226;0,226308831;345,223;292,9315642;392,5089544;83,84241655;394,3045501;0,852193078;0,503930231;85,44935197;0;2E+11;2E+11;2E+11;100,2800251;14,90886788;0,226884539;0,836082923;0;2,876858333;292,968;-273,15;394,5454759;2E+11;2E+11;0,852193078;0,503930231;835666,8761;124240,5656;1890,704495;0;394,424327;2E+11;0,852193078;0,503930231;100,2800251;14,90886788;0,226884539;0
01/03/2007 12:00;802;286,35;99600;5,7;538,589;292,994;392,6;0;0;0;2E+11;2E+11;43,26835302;46,73164698;181,6849808;46,70533416;0,889315159;1;0,984712746;0,794882056;0,922462279;554,6697394;292,9575951;392,8885721;2E+11;2E+11;0,901276145;0,48475755;150,1074731;14,90344012;0,22557715;135,2218268;0;4,622247829;292,994;393,0978691;2E+11;2E+11;0,901276145;0,48475755;1250895,609;124195,3344;1879,80958;554,6697394;292,994;392,9926604;2E+11;2E+11;0,901276145;0,48475755;150,1074731;14,90344012;0,22557715;538,589;292,9575951;392,5000484;130,7595544;395,4941517;0,899931819;0,48475755;134,9429631;0;2E+11;2E+11;2E+11;150,1074731;15,11207738;0,22661817;0,871106226;0;4,488241667;292,994;-273,15;395,7632039;2E+11;2E+11;0,899931819;0,48475755;1250895,609;125933,9782;1888,48475;0;395,6278718;2E+11;0,899931819;0,48475755;150,1074731;15,11207738;0,22661817;0
01/03/2007 13:00;849;287,15;99600;7,3;611,121;292,999;392,614;0;0;0;2E+11;2E+11;40,92743722;49,07256278;201,5246255;44,65598614;0,904887934;1;0,985768637;0,794882056;0,922462279;627,2115333;292,962601;392,889813;2E+11;2E+11;0,91125081;0,511651767;167,9001059;14,98766394;0,225097907;152,9014548;0;5,226762777;292,999;393,0991368;2E+11;2E+11;0,91125081;0,511651767;1399167,549;124897,1995;1875,815891;627,2115333;292,999;392,9939146;2E+11;2E+11;0,91125081;0,511651767;167,9001059;14,98766394;0,225097907;611,121;292,962601;392,5139022;148,3838977;395,2020463;0,910181604;0,511651767;152,6448957;0;2E+11;2E+11;2E+11;167,9001059;15,1732838;0,226019095;0,883762978;0;5,092675;292,999;-273,15;395,4640578;2E+11;2E+11;0,910181604;0,511651767;1399167,549;126444,0316;1883,492461;0;395,3322769;2E+11;0,910181604;0,511651767;167,9001059;15,1732838;0,226019095;0
01/03/2007 14:00;775;287,55;99600;6,9;633,326;293;392,59;0;0;0;2E+11;2E+11;35,06034653;54,93965347;218,909764;39,56412051;0,936278763;1;0,988099745;0,794882056;0,922462279;645,2041512;292,9636022;392,8868577;2E+11;2E+11;0,913600159;0,573736945;172,2697845;14,96912491;0,224848396;157,2812678;0;5,37670126;293;393,0961176;2E+11;2E+11;0,913600159;0,573736945;1435581,537;124742,7076;1873,736634;645,2041512;293;392,9909276;2E+11;2E+11;0,913600159;0,573736945;172,2697845;14,96912491;0,224848396;633,326;292,9636022;392,4901529;153,7350034;394,5379327;0,91285846;0,573736945;157,0974711;0;2E+11;2E+11;2E+11;172,2697845;15,10119529;0,22550558;0,892408404;0;5,277716667;293;-273,15;394,7842629;2E+11;2E+11;0,91285846;0,573736945;1435581,537;125843,2941;1879,213164;0;394,6603893;2E+11;0,91285846;0,573736945;172,2697845;15,10119529;0,22550558;0
01/03/2007 15:00;569;287,45;99600;3,2;522,123;293;392,619;0;0;0;2E+11;2E+11;26,67522399;63,32477601;233,2540733;32,31620399;0,967406036;1;0,990888914;0,794882056;0,922462279;528,8445102;292,9636022;392,8829499;2E+11;2E+11;0,897660027;0,649867884;143,6666997;14,78115152;0,224821079;128,9109508;0;4,407037585;293;393,0921252;2E+11;2E+11;0,897660027;0,649867884;1197222,497;123176,2626;1873,508991;528,8445102;293;392,9869778;2E+11;2E+11;0,897660027;0,649867884;143,6666997;14,78115152;0,224821079;522,123;292,9636022;392,5188499;126,7801313;394,006852;0,897060138;0,649867884;128,7938071;0;2E+11;2E+11;2E+11;143,6666997;14,87016158;0,225270318;0,882460108;0;4,351025;293;-273,15;394,2409634;2E+11;2E+11;0,897060138;0,649867884;1197222,497;123918,0132;1877,252649;0;394,1232496;2E+11;0,897060138;0,649867884;143,6666997;14,87016158;0,225270318;0
01/03/2007 16:00;194;286,55;99600;2,4;204;293;369,146;0;0;0;2E+11;2E+11;16,68737054;73,31262946;245,1359152;23,75080361;0,98981839;0,883525753;0,993662159;0,794882056;0,922462279;204;292,9636022;365,6491864;2E+11;2E+11;0,735102949;0,720152446;48,09256474;12,77480786;0,2147107;35,57152877;0;1,7;293;365,5494095;2E+11;2E+11;0,735102949;0,720152446;400771,3728;106456,7321;1789,255832;204;293;365,599342;2E+11;2E+11;0,735102949;0,720152446;48,09256474;12,77480786;0,2147107;204;292,9636022;369,1882145;37,3845383;365,6491864;0,735102949;0,720152446;35,57152877;0;2E+11;2E+11;2E+11;48,09256474;12,77480786;0,2147107;0,77734549;0;1,7;293;-273,15;365,5494095;2E+11;2E+11;0,735102949;0,720152446;400771,3728;106456,7321;1789,255832;0;365,599342;2E+11;0,735102949;0,720152446;48,09256474;12,77480786;0,2147107;0
01/03/2007 17:00;50;285,25;99600;2,2;204;293;295,272;0;0;0;2E+11;2E+11;5,746548961;84,25345104;255,4229412;14,50219267;0;0,291270416;0,996274467;0,794882056;0,922462279;204;292,9636022;280,7814855;2E+11;2E+11;0;0;0;5,804498736;0,159513287;-5,662780758;0;1,7;293;280,8760925;2E+11;2E+11;0;0;0;48370,8228;1329,277389;204;293;280,8288031;2E+11;2E+11;0;0;0;5,804498736;0,159513287;204;292,9636022;295,2384184;1,066693849;280,7814855;0;0;-5,662780764;0;2E+11;2E+11;2E+11;0;5,804498743;0,159513287;0;0;1,7;293;-273,15;280,8760924;2E+11;2E+11;0;0;0;48370,82286;1329,27739;0;280,8288031;2E+11;0;0;0;5,804498743;0,159513287;0
01/03/2007 18:00;0;283,85;99600;1,8;204;293;280,808;0;0;0;2E+11;2E+11;-5,702960841;95,70296084;264,9300911;5,044749863;0;0;0,998728539;0,794882056;0,922462279;204;292,9636022;280,7744511;2E+11;2E+11;0;0;0;5,807837909;0,160464639;-5,666026601;0;1,7;293;280,8690665;2E+11;2E+11;0;0;0;48398,64924;1337,205324;204;293;280,821773;2E+11;2E+11;0;0;0;5,807837909;0,160464639;204;292,9636022;280,76067;-5,672385524;280,7744515;0;0;-5,66602643;0;2E+11;2E+11;2E+11;0;5,807837733;0,160464637;0;0;1,7;293;-273,15;280,8690669;2E+11;2E+11;0;0;0;48398,64777;1337,205308;0;280,8217733;2E+11;0;0;0;5,807837733;0,160464637;0
01/03/2007 19:00;0;282,85;99600;1,1;204;295,341;280,973;0;0;0;2E+11;2E+11;-17,321769;107,321769;274,4234322;4,222446888;0;0;0,998936615;0,794882056;0,922462279;204;295,3075075;282,9521934;2E+11;2E+11;0;0;0;5,903438238;0,162268035;-5,75897267;0;1,7;295,341;283,0439706;2E+11;2E+11;0;0;0;49195,31865;1352,233623;204;295,341;282,9980982;2E+11;2E+11;0;0;0;5,903438238;0,162268035;204;295,3075075;280,925769;-6,69533489;282,9525728;0;0;-5,75879713;0;2E+11;2E+11;2E+11;0;5,90325769;0,162266011;0;0;1,7;295,341;-273,15;283,0443495;2E+11;2E+11;0;0;0;49193,81409;1352,216756;0;282,9984774;2E+11;0;0;0;5,90325769;0,162266011;0
01/03/2007 20:00;0;281,85;99600;0,7;204;293,894;281,064;0;0;0;2E+11;2E+11;-28,77930699;118,779307;284,7580066;12,90129307;0;0;0,996700864;0,794882056;0,922462279;204;293,8586826;281,6065618;2E+11;2E+11;0;0;0;5,844047511;0,162271727;-5,701243158;0;1,7;293,894;281,7001488;2E+11;2E+11;0;0;0;48700,39592;1352,264393;204;293,894;281,6533703;2E+11;2E+11;0;0;0;5,844047511;0,162271727;204;293,8586826;281,0168241;-5,973540018;281,6066982;0;0;-5,70118017;0;2E+11;2E+11;2E+11;0;5,843982717;0,162270993;0;0;1,7;293,894;-273,15;281,700285;2E+11;2E+11;0;0;0;48699,85598;1352,258277;0;281,6535066;2E+11;0;0;0;5,843982717;0,162270993;0
01/03/2007 21:00;0;280,85;99600;0,7;204;289,676;277,655;0;0;0;2E+11;2E+11;-39,63802504;129,638025;297,0998785;20,53681384;0;0;0,994604279;0,794882056;0,922462279;204;289,6359088;277,6781837;2E+11;2E+11;0;0;0;5,675213385;0,160943046;-5,536908707;0;1,7;289,676;277,7760144;2E+11;2E+11;0;0;0;47293,44487;1341,19205;204;289,676;277,7271098;2E+11;2E+11;0;0;0;5,675213385;0,160943046;204;289,6359088;277,6060422;-5,570070546;277,6784403;0;0;-5,536790714;0;2E+11;2E+11;2E+11;0;5,675091961;0,160941633;0;0;1,7;289,676;-273,15;277,7762708;2E+11;2E+11;0;0;0;47292,43301;1341,180275;0;277,7273664;2E+11;0;0;0;5,675091961;0,160941633;0
01/03/2007 22:00;0;279,85;99600;0,7;204;285,211;273,696;0;0;0;2E+11;2E+11;-49,16106561;139,1610656;313,1892514;26,58722927;0;0;0,992791384;0,794882056;0,922462279;204;285,1667787;273,5199511;2E+11;2E+11;0;0;0;5,498817205;0,15947816;-5,364867701;0;1,7;285,211;273,6205827;2E+11;2E+11;0;0;0;45823,47671;1328,984666;204;285,211;273,5702728;2E+11;2E+11;0;0;0;5,498817205;0,15947816;204;285,1667787;273,6457078;-5,307343982;273,5203124;0;0;-5,364702468;0;2E+11;2E+11;2E+11;0;5,498647095;0,159476139;0;0;1,7;285,211;-273,15;273,6209438;2E+11;2E+11;0;0;0;45822,05912;1328,967822;0;273,5706339;2E+11;0;0;0;5,498647095;0,159476139;0
